category,yield_strength,Fe,C,Mn,Si,Cr,Ni,Mo,V,Nb,Co,Al,Ti,N,W
medium_strength,1194.0,0.763,0.000466,0.000509,0.000398,0.114,0.101,0.012,0.00011,6.02e-05,9.49e-05,0.00746,0.000935,,
medium_strength,1194.0,0.777,0.0014,0.000102,0.000199,0.122,0.0824,0.000117,0.00011,6.03e-05,9.5e-05,0.0081,0.00316,,0.00561
medium_strength,1194.0,0.797,0.000939,0.00215,0.00381,0.054,0.118,0.0175,0.000111,6.07e-05,9.57e-05,0.00481,0.00165,,
medium_strength,1199.0,0.758,0.00142,0.000104,0.000203,0.123,0.0932,0.000119,0.000112,6.12e-05,9.65e-05,0.00822,0.00309,,0.0124
medium_strength,1205.8,0.693,0.000454,9.93e-05,0.0334,0.165,0.0381,0.000114,0.000107,5.87e-05,0.0685,0.000405,0.000456,,
medium_strength,1207.8,0.778,,0.00122,0.00159,0.112,0.0876,0.0115,0.00011,6.02e-05,9.49e-05,0.00539,0.00245,,
medium_strength,1212.0,0.699,0.000946,0.000103,0.000202,0.000109,0.14,0.00545,0.000112,6.12e-05,0.148,0.000632,0.00487,,
medium_strength,1212.6,0.803,0.00047,0.000823,0.000805,0.0511,0.117,0.0184,0.000111,6.08e-05,9.59e-05,0.00544,0.00224,,
medium_strength,1216.8,0.802,0.00047,0.000308,0.00221,0.0518,0.117,0.0178,0.000111,6.07e-05,9.58e-05,0.00544,0.00236,,
medium_strength,1218.4,0.685,0.00877,0.000101,0.00967,0.134,0.00907,0.00855,0.00359,5.97e-05,0.141,0.000617,,,
medium_strength,1218.8,0.773,0.00141,0.000512,0.0022,0.0812,0.116,0.0179,0.00011,6.06e-05,9.55e-05,0.00522,0.00235,,
medium_strength,1219.7,0.721,0.00189,0.00455,0.00647,0.131,9.67e-05,0.0364,0.000111,6.11e-05,0.0963,0.000631,,0.00122,
medium_strength,1221.6,0.763,,0.00102,0.00814,0.109,0.0988,0.0116,0.000109,6e-05,9.46e-05,0.00517,0.00268,,
medium_strength,1224.7,0.765,,0.000713,0.00199,0.112,0.0992,0.0128,0.00011,6.03e-05,9.5e-05,0.00519,0.00281,,
medium_strength,1226.4,0.686,0.00091,9.95e-05,0.0354,0.146,0.0475,0.000114,0.000107,5.88e-05,0.0825,0.000405,0.000457,,
medium_strength,1228.9,0.646,0.00479,0.00597,0.00492,0.135,9.8e-05,0.0534,0.000113,6.19e-05,0.148,0.00064,,0.000821,
medium_strength,1230.6,0.801,0.000469,0.00103,0.00361,0.0528,0.116,0.0175,0.000111,6.07e-05,9.57e-05,0.00522,0.00177,,
medium_strength,1232.0,0.732,0.0048,0.00556,0.00533,0.136,9.81e-05,0.00012,0.000113,6.2e-05,0.0953,0.00064,,0.00123,0.0188
medium_strength,1233.3,0.684,0.00699,0.000102,0.000199,0.155,9.53e-05,0.0177,0.0045,6.02e-05,0.13,0.000622,,0.0012,
medium_strength,1233.3,0.696,0.00143,0.000105,0.000204,0.00011,0.18,0.0293,0.000113,6.18e-05,0.0682,0.00319,0.0212,,
medium_strength,1235.9,0.763,0.00479,0.00524,0.00615,0.133,0.0196,0.00012,0.000113,6.19e-05,0.0488,0.00064,,,0.0188
medium_strength,1236.6,0.72,0.00407,0.0277,0.00619,0.183,0.0411,0.000113,0.000107,5.85e-05,9.23e-05,0.0181,,,
medium_strength,1237.0,0.703,0.00274,0.0209,0.00625,0.173,0.0481,0.00864,0.000108,5.91e-05,0.0189,0.0179,,,
medium_strength,1240.2,0.681,0.00744,0.000102,0.000199,0.154,9.52e-05,0.0175,0.0106,6.01e-05,0.126,0.00104,,0.0012,
medium_strength,1241.0,0.682,0.00877,0.000202,0.00967,0.134,0.00907,0.00861,0.00501,5.97e-05,0.142,0.000616,,,
medium_strength,1243.0,0.77,,0.000509,0.000398,0.111,0.0972,0.012,0.00011,6.02e-05,9.49e-05,0.00726,0.00199,,
medium_strength,1243.4,0.656,0.0093,0.000102,0.000199,0.152,0.00875,0.0116,0.00011,0.000481,0.161,0.000621,,,
medium_strength,1243.6,0.801,0.000939,0.000821,0.000803,0.0513,0.116,0.0185,0.000111,6.07e-05,9.57e-05,0.00794,0.00271,,
medium_strength,1245.4,0.671,0.00925,0.00516,0.0103,0.135,0.00965,0.0115,0.000109,5.98e-05,0.147,0.000618,,,
medium_strength,1250.5,0.725,0.0155,0.000677,0.0899,0.000102,0.167,0.000111,0.000104,5.72e-05,9.02e-05,0.000591,,,
medium_strength,1250.8,0.681,0.00877,0.00464,0.00968,0.135,0.00898,0.00861,0.000109,5.97e-05,0.142,0.000617,,,
medium_strength,1254.0,0.805,0.00047,0.000719,0.000804,0.0496,0.116,0.0184,0.000111,6.08e-05,9.58e-05,0.00711,0.00212,,
medium_strength,1258.2,0.712,0.00471,0.00639,0.00746,0.133,9.64e-05,0.0363,0.000111,6.09e-05,0.098,0.000629,,0.00121,
medium_strength,1258.6,0.683,0.00925,0.000202,0.00969,0.134,0.0089,0.0114,0.000109,0.00012,0.142,0.000618,,,
medium_strength,1258.8,0.768,0.000466,0.00122,0.00119,0.111,0.0972,0.0119,0.00011,6.02e-05,9.49e-05,0.00642,0.00245,,
medium_strength,1263.6,0.789,,0.000719,0.00161,0.0814,0.101,0.0194,0.000111,6.07e-05,9.57e-05,0.00439,0.00271,,
medium_strength,1267.1,0.686,0.000478,0.000104,0.000204,0.00011,0.143,0.0185,0.000113,6.18e-05,0.15,0.000638,0.00144,,
medium_strength,1267.8,0.766,0.000468,0.000819,0.001,0.102,0.103,0.0188,0.00011,6.06e-05,9.55e-05,0.00563,0.00259,,
medium_strength,1269.0,0.751,0.00138,0.000101,0.000197,0.133,0.0787,0.0128,0.000109,5.96e-05,9.39e-05,0.0217,0.000231,0.000395,
medium_strength,1272.6,0.799,0.000469,0.000513,0.00241,0.052,0.117,0.0176,0.000111,6.06e-05,9.56e-05,0.00835,0.00224,,
medium_strength,1273.3,0.703,0.00927,0.000101,0.000198,0.128,0.0235,0.00574,0.000109,0.000599,0.129,0.000619,,,
medium_strength,1274.7,0.655,0.00752,0.000103,0.000201,0.147,9.61e-05,0.0276,0.00443,6.07e-05,0.155,0.000836,,0.00161,
medium_strength,1274.7,0.702,,0.000102,0.0002,0.154,0.0802,0.0146,0.00011,6.04e-05,0.0409,0.00249,0.00551,,
medium_strength,1275.3,0.693,0.00877,0.000101,0.0144,0.133,0.00897,0.0114,0.000109,0.000477,0.13,0.000616,,,
medium_strength,1276.5,0.753,0.00138,0.000101,0.000197,0.133,0.0784,0.0127,0.000109,5.96e-05,9.4e-05,0.0211,0.000231,,
medium_strength,1276.7,0.752,0.00138,0.000101,0.000197,0.133,0.0781,0.0127,0.000109,5.96e-05,9.39e-05,0.0215,0.000578,0.000395,
medium_strength,1277.7,0.752,0.00138,0.000101,0.000197,0.134,0.0784,0.0128,0.000109,5.96e-05,9.4e-05,0.0209,0.000116,,
medium_strength,1278.2,0.69,0.00697,0.000102,0.000199,0.15,0.00885,0.0116,0.00011,0.000481,0.13,0.000621,,,
medium_strength,1280.2,0.755,0.00185,0.000101,0.000198,0.134,0.0794,0.0127,0.000109,5.98e-05,9.42e-05,0.0158,0.000232,,
medium_strength,1280.7,0.69,0.0097,0.000101,0.0111,0.134,0.00936,0.0114,0.0037,0.000478,0.129,0.000617,,,
medium_strength,1280.8,0.757,0.00185,0.000101,0.000791,0.133,0.0781,0.0127,0.000109,5.97e-05,9.42e-05,0.0158,0.000232,,
medium_strength,1282.2,0.711,0.00931,0.000102,0.000199,0.113,0.0237,0.0115,0.00011,0.000602,0.13,0.000622,,,
medium_strength,1282.2,0.769,,0.000509,0.000398,0.112,0.0953,0.0119,0.00011,6.02e-05,9.49e-05,0.00725,0.00362,,
medium_strength,1285.0,0.751,0.00138,0.000101,0.000197,0.134,0.0791,0.0129,0.000109,5.96e-05,9.4e-05,0.0211,0.000116,,
medium_strength,1287.3,0.699,0.000478,0.000104,0.000204,0.00011,0.166,0.0287,0.00383,6.18e-05,0.0847,0.00829,0.00803,,
medium_strength,1287.4,0.671,0.00189,0.00569,0.00547,0.134,9.69e-05,0.0347,0.000112,6.12e-05,0.145,0.000632,,0.00122,
medium_strength,1287.4,0.715,0.00378,0.00609,0.00605,0.133,9.66e-05,0.0372,0.000111,6.1e-05,0.0962,0.00063,,0.00202,
medium_strength,1288.4,0.673,0.000475,0.000104,0.000203,0.00011,0.18,0.0286,0.00482,6.14e-05,0.0842,0.0201,0.00858,,
medium_strength,1294.9,0.754,0.00184,0.000101,0.000197,0.132,0.078,0.0128,0.000109,5.96e-05,9.4e-05,0.0213,0.000347,,
medium_strength,1296.0,0.752,0.00138,0.000101,0.000197,0.133,0.0784,0.0128,0.000109,5.96e-05,9.4e-05,0.0218,0.000231,,
medium_strength,1297.5,0.751,0.00184,0.000101,0.000197,0.133,0.0783,0.0129,0.000109,5.96e-05,9.39e-05,0.022,0.000116,,
medium_strength,1298.8,0.784,0.000919,0.001,0.0397,0.000106,0.173,0.000115,0.000108,5.94e-05,9.36e-05,0.000614,,,
medium_strength,1299.8,0.7,0.00927,0.000101,0.00594,0.133,0.00901,0.0114,0.000109,0.000479,0.13,0.000619,,,
medium_strength,1300.3,0.674,0.00925,0.00516,0.0101,0.135,0.00975,0.0115,0.000109,5.98e-05,0.145,0.000618,,,
medium_strength,1302.8,0.706,0.0106,0.000101,0.00712,0.135,0.00899,0.0114,0.000109,0.000478,0.12,0.000617,,,
medium_strength,1304.3,0.814,0.000937,0.000717,0.002,0.0522,0.0977,0.0188,0.00011,6.05e-05,9.54e-05,0.0108,0.00282,,
medium_strength,1305.4,0.758,0.00185,0.000101,0.000198,0.132,0.078,0.0127,0.000109,5.97e-05,9.42e-05,0.0167,0.000348,,
medium_strength,1306.9,0.751,0.00138,0.000101,0.000197,0.134,0.0782,0.0128,0.000109,5.96e-05,9.39e-05,0.0215,0.000116,0.000395,
medium_strength,1308.0,0.75,0.00184,0.000101,0.000394,0.133,0.0814,0.0121,0.000109,5.96e-05,9.39e-05,0.0205,,,
medium_strength,1309.1,0.674,0.0112,0.000102,0.000199,0.0957,0.0829,0.00874,0.00307,6.02e-05,0.123,0.000622,0.000234,,
medium_strength,1309.1,0.676,0.000475,0.000104,0.000203,0.00011,0.18,0.0279,0.000112,6.14e-05,0.0852,0.0216,0.00846,,
medium_strength,1309.1,0.78,0.000457,0.000599,0.0504,0.000106,0.166,0.000114,0.000108,5.91e-05,9.31e-05,0.00102,0.000802,,
medium_strength,1309.8,0.801,0.00047,0.000205,0.000603,0.0543,0.117,0.0176,0.000111,6.07e-05,9.58e-05,0.00648,0.00248,,
medium_strength,1311.1,0.688,0.00877,0.000101,0.00987,0.134,0.00898,0.00856,0.000109,5.97e-05,0.141,0.000617,,,
medium_strength,1311.4,0.671,0.00376,0.000103,0.000201,0.157,9.62e-05,0.0294,0.0051,6.08e-05,0.13,0.000628,,0.00282,
medium_strength,1312.0,0.752,0.00184,0.000101,0.000197,0.133,0.0787,0.0129,0.000109,5.96e-05,9.4e-05,0.0213,0.000116,,
medium_strength,1312.6,0.663,0.00329,0.000103,0.000201,0.169,9.63e-05,0.0294,0.00455,6.08e-05,0.129,0.000629,,0.00121,
medium_strength,1314.2,0.682,0.00925,0.000101,0.0101,0.134,0.00899,0.0115,0.000109,0.000479,0.143,0.000618,,,
medium_strength,1317.0,0.751,0.00138,0.000101,0.000197,0.133,0.0784,0.0128,0.000109,5.96e-05,9.39e-05,0.022,0.000578,,
medium_strength,1322.1,0.664,0.00926,0.000101,0.0101,0.134,0.009,0.0114,0.000109,0.000479,0.161,0.000618,,,
medium_strength,1322.9,0.672,0.00564,0.000103,0.000201,0.156,9.62e-05,0.0294,0.00454,6.08e-05,0.129,0.00105,,0.00121,
medium_strength,1324.3,0.802,,0.00041,0.0012,0.0543,0.114,0.0175,0.000111,6.07e-05,9.57e-05,0.00815,0.00236,,
medium_strength,1328.3,0.636,0.00881,0.000203,0.00972,0.135,0.00892,0.0114,0.000109,6e-05,0.19,0.00062,,,
medium_strength,1332.7,0.697,0.00972,0.000101,0.00732,0.135,0.00909,0.0115,0.000109,0.000479,0.13,0.000618,,,
medium_strength,1338.0,0.675,0.00705,0.000103,0.000201,0.157,9.62e-05,0.0294,0.000111,6.08e-05,0.129,0.00105,,,
medium_strength,1340.1,0.803,0.0174,0.00236,0.000201,0.0779,9.6e-05,0.0335,0.0122,0.00473,0.0477,0.000627,,,
medium_strength,1340.8,0.768,0.000466,0.000306,0.000598,0.11,0.1,0.0128,0.00011,6.03e-05,9.51e-05,0.00478,0.00281,,
medium_strength,1341.7,0.679,0.00705,0.000103,0.000201,0.153,0.00135,0.0282,0.00233,6.08e-05,0.128,0.000628,,,
medium_strength,1344.0,0.751,0.00184,0.000101,0.000197,0.133,0.0785,0.0128,0.000109,5.96e-05,9.39e-05,0.0217,0.000578,,
medium_strength,1344.4,0.684,0.0092,0.000101,0.0197,0.134,0.00885,0.0114,0.00228,0.000476,0.129,0.000614,,,
medium_strength,1348.6,0.751,0.00184,0.000101,0.000197,0.133,0.0786,0.0127,0.000109,5.96e-05,9.39e-05,0.0213,0.00116,,
medium_strength,1348.9,0.696,0.00974,0.000101,0.000198,0.15,9.49e-05,0.0116,0.000109,0.00048,0.13,0.000619,,,
medium_strength,1350.3,0.75,0.00138,0.000101,0.000197,0.133,0.0789,0.0128,0.000109,5.96e-05,9.4e-05,0.0218,0.00104,,
medium_strength,1350.4,0.664,0.00751,0.00575,0.000201,0.157,9.61e-05,0.0301,0.00454,6.07e-05,0.128,0.00105,,0.00121,
medium_strength,1350.4,0.702,,0.000102,0.0002,0.154,0.0793,0.0152,0.00011,6.04e-05,0.0409,0.00208,0.00574,,
medium_strength,1352.2,0.668,0.00972,0.00435,0.0099,0.134,0.0112,0.0119,0.000109,5.98e-05,0.15,0.000618,,,
medium_strength,1354.2,0.669,0.00957,9.96e-05,0.0388,0.132,0.00876,0.0113,0.000107,0.000471,0.129,0.000608,,,
medium_strength,1357.3,0.753,0.00929,0.000102,0.000199,0.088,0.02,0.00756,0.00318,6e-05,0.117,0.00062,0.000233,,
medium_strength,1357.9,0.751,0.00138,0.000101,0.000197,0.133,0.0784,0.0128,0.000109,5.96e-05,9.39e-05,0.0217,0.00104,0.000395,
medium_strength,1358.2,0.669,0.00929,0.000102,0.000596,0.151,9.5e-05,0.0115,0.00011,0.00048,0.157,0.00062,,,
medium_strength,1359.7,0.695,0.0106,0.000101,0.0103,0.133,0.00898,0.0114,0.000109,0.000478,0.13,0.000617,,,
medium_strength,1362.9,0.718,0.00317,0.00594,0.00581,0.178,0.0648,0.000113,0.000107,5.85e-05,9.22e-05,0.0242,,,
medium_strength,1368.5,0.69,0.00785,0.000101,0.0154,0.134,0.00898,0.0115,0.000109,0.000477,0.132,0.000617,,,
medium_strength,1369.5,0.692,0.00968,0.000101,0.0144,0.133,0.00887,0.0114,0.000109,0.000477,0.13,0.000616,,,
medium_strength,1369.5,0.695,0.00971,0.000101,0.00988,0.134,0.00889,0.0115,0.000109,0.000478,0.13,0.000617,,,
medium_strength,1371.1,0.731,0.00897,0.000103,0.000202,0.0742,0.0271,0.0142,0.00312,6.1e-05,0.137,0.000631,0.000237,,0.00401
medium_strength,1371.4,0.703,0.00883,0.000102,0.000199,0.135,0.00942,0.0115,0.00011,0.000421,0.131,0.000621,,,
medium_strength,1372.9,0.687,0.00974,0.000101,0.000198,0.151,0.00883,0.0116,0.000109,0.00048,0.131,0.00062,,,
medium_strength,1373.9,0.68,,0.000104,0.000204,0.111,0.068,0.0327,0.000112,6.16e-05,0.106,0.000636,,0.000408,
medium_strength,1376.3,0.696,0.00878,0.000101,0.00989,0.135,0.00927,0.0113,0.000109,0.00012,0.129,0.000617,,,
medium_strength,1376.7,0.696,0.00925,0.000101,0.000198,0.148,0.0107,0.00573,0.000109,0.000538,0.129,0.000617,,,
medium_strength,1382.2,0.677,0.00916,0.0001,0.0294,0.134,0.00881,0.0113,0.000108,0.000474,0.129,0.000611,,,
medium_strength,1383.5,0.785,0.000467,0.000511,0.0018,0.082,0.0985,0.0178,0.00011,6.04e-05,9.52e-05,0.0108,0.00235,,
medium_strength,1383.7,0.685,0.0101,0.000101,0.0199,0.134,0.00884,0.0114,0.000108,0.000475,0.129,0.000614,,,
medium_strength,1390.4,0.798,0.000469,0.00082,0.001,0.0504,0.116,0.0184,0.000111,6.06e-05,9.55e-05,0.0119,0.00235,,
medium_strength,1390.4,0.8,0.00047,0.000616,0.000602,0.0506,0.117,0.0186,0.000111,6.07e-05,9.57e-05,0.00982,0.00224,,
medium_strength,1391.2,0.752,0.00184,0.000101,0.000197,0.133,0.0783,0.0128,0.000109,5.96e-05,9.4e-05,0.0209,0.00104,,
medium_strength,1391.8,0.721,0.0097,0.000101,0.0119,0.0875,0.0246,0.00752,0.00316,5.97e-05,0.134,0.000617,0.000232,,
medium_strength,1392.4,0.799,0.00047,0.000103,0.000201,0.000108,0.167,0.00847,0.000111,6.07e-05,9.57e-05,0.00167,0.0224,,
medium_strength,1393.5,0.704,0.000476,0.000104,0.000203,0.00011,0.148,0.0304,0.000112,6.15e-05,0.0892,0.0191,0.00835,,
